?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/XAO_0001102>	"Second of two pancreatic primordia that give rise to a ventral pancreatic bud."	
<http://purl.obolibrary.org/obo/XAO_0004494>	"A prominent, slender, rod-like projection of the iliac bone located close to the acetabiulum and directed posteriorly."	
<http://purl.obolibrary.org/obo/XAO_0004334>	"Hyoid arch muscle that connects Meckel's cartilage with the palatoquadrate and supports the opening of the mouth by depressing Meckel's cartilage."	
<http://purl.obolibrary.org/obo/XAO_0004466>	"Multi-tissue structure that comprises a secretory epithelial layer and a connective tissue layer."	
<http://purl.obolibrary.org/obo/XAO_0004414>	"The 2nd most anterior of the hind digits, consisting of a single metatarsal, 3 phalanges, and a claw."	
<http://purl.obolibrary.org/obo/XAO_0005210>	"The side of an organism that is left of the sagittal plane."	
<http://purl.obolibrary.org/obo/XAO_0005158>	"The stomach tissue region which surrounds and controls the distal outlet of the stomach, which opens into the duodenum, and contains the pyloric glands."	"UBERON:0001166"
<http://purl.obolibrary.org/obo/XAO_0004135>	"The interface between the dorsal neuroepithelium and the roof plate of the fourth ventricle. The source of a number of migratory neuron populations of the hindbrain."	"UBERON:0006215"
<http://purl.obolibrary.org/obo/XAO_0004159>	"Vein that drains the dorsal longitudinal vessel and the caudal portions of the venous capillary network of the medulla oblongata. The cerebral veins cross the head dorsally at NF stage 37-38. It drains into the vena capitis lateralis."	
<http://purl.obolibrary.org/obo/XAO_0000063>	"Duct that drains urine from the pronephros and connects it to the cloaca. It is thought that the pronephric duct may play a key role in the induction of the mesonephric (adult) kidney. The most anterior part of the pronephric duct shows distinct gene expression patterns and is sometimes referred to as DT2."	"UBERON:0003060"
<http://purl.obolibrary.org/obo/XAO_0004465>	"Canal that connects the membranous labyrinth of the ear with the endolymphatic sac."	
<http://purl.obolibrary.org/obo/XAO_0004297>	"Limb segment that is the middle part of the forelimb (i.e. the radio-ulna and surrounding tissues)."	
<http://purl.obolibrary.org/obo/XAO_0003080>	"Skeletal element in the midline of the pelvic girdle that arises from somites 10-13. It is a rodlike caudal bony structure unique to anurans that lies within a compartment formed by the elongated, anteriorly oriented pelvic girdle. It is formed by the fusion of the neural arches of the 10th-13th vertebrae, and the posterior-most remnants of the hypochord. Timing of complete ossification varies between NF stages 62 and 66."	"UBERON:0003106"
<http://purl.obolibrary.org/obo/XAO_0005182>	"An interneuron which grows from the soma in a descending (from head to tail) direction."	
<http://purl.obolibrary.org/obo/XAO_0004163>	"A precursor cell of the vascular endothelium which organizes into the primitive blood vessels during embryogenesis."	"CL:0000566"
<http://purl.obolibrary.org/obo/XAO_0005166>	"Somatostatin-producing cell that is found in the stomach, intestine and the pancreatic islets."	"CL:0000502"
<http://purl.obolibrary.org/obo/XAO_0003240>	"A type of cell, found in the digestive tract, that secrete enzymes that break down polymeric macromolecules into their smaller building blocks, in order to facilitate their absorption by the body."	"CL:0000470"
<http://purl.obolibrary.org/obo/XAO_0004217>	"An efferent neuron that passes from the central nervous system or a ganglion toward or to a muscle and conducts an impulse that causes movement."	"CL:0000100"
<http://purl.obolibrary.org/obo/XAO_0004433>	"The presumptive cells of the interhyoideus muscle."	
<http://purl.obolibrary.org/obo/XAO_0005184>	"An ascending neuron, originating in the spinal cord, that is involved in the touch sensory pathway and lies adjacent to the Rohon-Beard neurons and close to the roof plate of the spinal cord."	
<http://purl.obolibrary.org/obo/XAO_0005048>	"A series of nuclei forming a column of grey matter embedded in the medulla, through the center of which runs the solitary tract. The solitary tract and nucleus are structures that carry and receive visceral sensation and taste from the facial (VII), glossopharyngeal (IX) and vagus (X) cranial nerves."	"UBERON:0009050"
