?cls	?replCls	?consCls
<http://purl.obolibrary.org/obo/XAO_0000039>		"XAO:0003186"
<http://purl.obolibrary.org/obo/XAO_0000059>	"XAO:0002000"	
<http://purl.obolibrary.org/obo/XAO_0000061>		"XAO:0000318"
<http://purl.obolibrary.org/obo/XAO_0000073>		
<http://purl.obolibrary.org/obo/XAO_0000147>		
<http://purl.obolibrary.org/obo/XAO_0000149>		"XAO:0000331"
<http://purl.obolibrary.org/obo/XAO_0000150>		
<http://purl.obolibrary.org/obo/XAO_0000152>		"XAO:0000334"
<http://purl.obolibrary.org/obo/XAO_0000201>		"XAO:0000273"
<http://purl.obolibrary.org/obo/XAO_0000203>		
<http://purl.obolibrary.org/obo/XAO_0000216>		"XAO:0004467"
<http://purl.obolibrary.org/obo/XAO_0000216>		"XAO:0004468"
<http://purl.obolibrary.org/obo/XAO_0000219>		
<http://purl.obolibrary.org/obo/XAO_0000221>		
<http://purl.obolibrary.org/obo/XAO_0000222>	"XAO:0000223"	
<http://purl.obolibrary.org/obo/XAO_0000290>		
<http://purl.obolibrary.org/obo/XAO_0000293>	"XAO:0004087"	
<http://purl.obolibrary.org/obo/XAO_0000351>		
<http://purl.obolibrary.org/obo/XAO_0003021>	"XAO:0005018"	
<http://purl.obolibrary.org/obo/XAO_0003058>		
<http://purl.obolibrary.org/obo/XAO_0003067>	"XAO:0004297"	
<http://purl.obolibrary.org/obo/XAO_0003068>	"XAO:0003207"	
<http://purl.obolibrary.org/obo/XAO_0003069>	"XAO:0004296"	
<http://purl.obolibrary.org/obo/XAO_0003070>	"XAO:0003212"	
<http://purl.obolibrary.org/obo/XAO_0003071>	"XAO:0004295"	
<http://purl.obolibrary.org/obo/XAO_0003072>	"XAO:0004298"	
<http://purl.obolibrary.org/obo/XAO_0003082>		"XAO:0000033"
<http://purl.obolibrary.org/obo/XAO_0003148>	"XAO:0000111"	
<http://purl.obolibrary.org/obo/XAO_0003167>	"XAO:0003208"	
<http://purl.obolibrary.org/obo/XAO_0003168>	"XAO:0003211"	
<http://purl.obolibrary.org/obo/XAO_0005238>	"XAO:0005423"	
<http://purl.obolibrary.org/obo/XAO_0005239>	"XAO:0005424"	
<http://purl.obolibrary.org/obo/XAO_0005252>		"XAO:0000275"
<http://purl.obolibrary.org/obo/XAO_0005253>		"XAO:0000275"
<http://purl.obolibrary.org/obo/XAO_0005256>		"XAO:0000179"
<http://purl.obolibrary.org/obo/XAO_0005257>		"XAO:0000179"
<http://purl.obolibrary.org/obo/XAO_0005258>		"XAO:0000192"
<http://purl.obolibrary.org/obo/XAO_0005259>		"XAO:0000192"
<http://purl.obolibrary.org/obo/XAO_0005270>		"XAO:0003180"
<http://purl.obolibrary.org/obo/XAO_0005271>		"XAO:0003180"
<http://purl.obolibrary.org/obo/XAO_0005272>		"XAO:0003030"
<http://purl.obolibrary.org/obo/XAO_0005273>		"XAO:0003030"
<http://purl.obolibrary.org/obo/XAO_0005274>		"XAO:0003031"
<http://purl.obolibrary.org/obo/XAO_0005275>		"XAO:0003031"
<http://purl.obolibrary.org/obo/XAO_0005276>		"XAO:0000228"
<http://purl.obolibrary.org/obo/XAO_0005277>		"XAO:0000228"
<http://purl.obolibrary.org/obo/XAO_0005278>		"XAO:0000010"
<http://purl.obolibrary.org/obo/XAO_0005279>		"XAO:0000010"
<http://purl.obolibrary.org/obo/XAO_0006057>		"XAO:0003260"
<http://purl.obolibrary.org/obo/XAO_1000009>	"XAO:1000093"	
