?cls	?xref
<http://purl.obolibrary.org/obo/XAO_0004597>	"UBERON:0004731"
<http://purl.obolibrary.org/obo/XAO_0003088>	"UBERON:0001343"
<http://purl.obolibrary.org/obo/XAO_0003097>	"UBERON:0001759"
<http://purl.obolibrary.org/obo/XAO_0005285>	"GO:0005876"
<http://purl.obolibrary.org/obo/XAO_0003197>	"UBERON:0001033"
<http://purl.obolibrary.org/obo/XAO_0000376>	"UBERON:0005487"
<http://purl.obolibrary.org/obo/XAO_0003025>	"UBERON:0002100"
<http://purl.obolibrary.org/obo/XAO_0003256>	"CL:0000319"
<http://purl.obolibrary.org/obo/XAO_0000011>	"UBERON:0001890"
<http://purl.obolibrary.org/obo/XAO_0003147>	"CL:0000019"
<http://purl.obolibrary.org/obo/XAO_0003060>	"UBERON:0001434"
<http://purl.obolibrary.org/obo/XAO_0000227>	"UBERON:0003071"
<http://purl.obolibrary.org/obo/XAO_0004121>	"UBERON:0004356"
<http://purl.obolibrary.org/obo/XAO_0000220>	"UBERON:0004016"
<http://purl.obolibrary.org/obo/XAO_0003227>	"UBERON:0001042"
<http://purl.obolibrary.org/obo/XAO_0003011>	"UBERON:0000923"
<http://purl.obolibrary.org/obo/XAO_0004155>	"UBERON:0002270"
<http://purl.obolibrary.org/obo/XAO_0005194>	"UBERON:0004068"
<http://purl.obolibrary.org/obo/XAO_0000471>	"CL:0000430"
<http://purl.obolibrary.org/obo/XAO_0000025>	"UBERON:0007099"
<http://purl.obolibrary.org/obo/XAO_0000027>	"UBERON:0001714"
<http://purl.obolibrary.org/obo/XAO_0006011>	"GO:0043698"
<http://purl.obolibrary.org/obo/XAO_0004609>	"UBERON:0000125"
<http://purl.obolibrary.org/obo/XAO_0003207>	"UBERON:0009880"
<http://purl.obolibrary.org/obo/XAO_0003213>	"UBERON:0006714"
<http://purl.obolibrary.org/obo/XAO_0004008>	"UBERON:0000485"
<http://purl.obolibrary.org/obo/XAO_0004008>	"CARO:0000068"
<http://purl.obolibrary.org/obo/XAO_0000107>	"UBERON:0002533"
<http://purl.obolibrary.org/obo/XAO_0000116>	"UBERON:0001982"
<http://purl.obolibrary.org/obo/XAO_0004147>	"UBERON:0005487"
<http://purl.obolibrary.org/obo/XAO_0004182>	"UBERON:0002407"
<http://purl.obolibrary.org/obo/XAO_0005191>	"UBERON:0001679"
<http://purl.obolibrary.org/obo/XAO_0004087>	"UBERON:0005062"
<http://purl.obolibrary.org/obo/XAO_0004621>	"CL:1000396"
<http://purl.obolibrary.org/obo/XAO_0004127>	"UBERON:0011151"
<http://purl.obolibrary.org/obo/XAO_0000172>	"UBERON:0001630"
<http://purl.obolibrary.org/obo/XAO_0000123>	"UBERON:0002371"
<http://purl.obolibrary.org/obo/XAO_0005294>	"UBERON:0000375"
<http://purl.obolibrary.org/obo/XAO_0005002>	"CARO:0010000"
<http://purl.obolibrary.org/obo/XAO_0005002>	"UBERON:0010000"
<http://purl.obolibrary.org/obo/XAO_0004163>	"CL:0000566"
<http://purl.obolibrary.org/obo/XAO_0004541>	"UBERON:0001880"
<http://purl.obolibrary.org/obo/XAO_0003032>	"UBERON:0002544"
<http://purl.obolibrary.org/obo/XAO_0004071>	"UBERON:0000959"
<http://purl.obolibrary.org/obo/XAO_0003200>	"UBERON:0003929"
<http://purl.obolibrary.org/obo/XAO_0004079>	"UBERON:0001892"
<http://purl.obolibrary.org/obo/XAO_0000190>	"UBERON:0001691"
<http://purl.obolibrary.org/obo/XAO_0003175>	"UBERON:0003110"
<http://purl.obolibrary.org/obo/XAO_0005154>	"GO:0005886"
<http://purl.obolibrary.org/obo/XAO_0000356>	"UBERON:0004852"
<http://purl.obolibrary.org/obo/XAO_0000247>	"UBERON:0007123"
<http://purl.obolibrary.org/obo/XAO_0005313>	"GO:0015629"
<http://purl.obolibrary.org/obo/XAO_0000382>	"UBERON:0001586"
<http://purl.obolibrary.org/obo/XAO_0000430>	"UBERON:0005356"
<http://purl.obolibrary.org/obo/XAO_0000045>	"UBERON:0003056"
<http://purl.obolibrary.org/obo/XAO_0000218>	"UBERON:0000026"
<http://purl.obolibrary.org/obo/XAO_0000449>	"UBERON:0003115"
<http://purl.obolibrary.org/obo/XAO_0000336>	"UBERON:0003084"
<http://purl.obolibrary.org/obo/XAO_0000178>	"UBERON:0000010"
<http://purl.obolibrary.org/obo/XAO_0005146>	"UBERON:0002501"
<http://purl.obolibrary.org/obo/XAO_0004264>	"UBERON:0002471"
<http://purl.obolibrary.org/obo/XAO_0000005>	"UBERON:0003050"
<http://purl.obolibrary.org/obo/XAO_1000007>	"UBERON:0009741"
<http://purl.obolibrary.org/obo/XAO_0005008>	"GO:0005929"
<http://purl.obolibrary.org/obo/XAO_0000134>	"UBERON:0002394"
<http://purl.obolibrary.org/obo/XAO_0004214>	"UBERON:0002019"
<http://purl.obolibrary.org/obo/XAO_0000138>	"UBERON:0007826"
<http://purl.obolibrary.org/obo/XAO_0000307>	"UBERON:0003080"
<http://purl.obolibrary.org/obo/XAO_0003250>	"CL:0000152"
<http://purl.obolibrary.org/obo/XAO_0000313>	"UBERON:0005594"
<http://purl.obolibrary.org/obo/XAO_0003038>	"UBERON:0000472"
<http://purl.obolibrary.org/obo/XAO_0003038>	"CARO:0000021"
<http://purl.obolibrary.org/obo/XAO_0000429>	"UBERON:0001785"
<http://purl.obolibrary.org/obo/XAO_0000273>	"UBERON:0002268"
<http://purl.obolibrary.org/obo/XAO_0005010>	"GO:0030426"
<http://purl.obolibrary.org/obo/XAO_0004580>	"UBERON:0002258"
<http://purl.obolibrary.org/obo/XAO_0000164>	"UBERON:0002369"
